2019-09-24 19:56:12 | 推送数据已启动： | 推送:执行间隔:10秒
2019-09-24 19:56:22 | 开始: | 1
2019-09-24 19:56:22 | 发送数据: | Admin*系统管理员*2019/9/24 19:53:48*1*用户登录*1*登录*admin在2019/9/24 19:53:48登录时输入错误密码*False
2019-09-24 19:56:22 | 返回: | 124;数据ID：919b79f9-7865-4d16-ba9b-9bf900eef03e
2019-09-24 19:56:32 | 开始: | 0
2019-09-24 19:56:42 | 开始: | 1
2019-09-24 19:56:42 | 发送数据: | Admin*系统管理员*2019/9/24 19:56:42*1*用户登录*10*锁定*admin在2019/9/24 19:56:42登录失败超过次被锁定*True
2019-09-24 19:56:43 | 返回: | 127;数据ID：d175a4ca-1bbe-4e5a-8312-3f923daeada1
2019-09-24 19:56:53 | 开始: | 2
2019-09-24 19:56:53 | 发送数据: | Safer*安全保密员*2019/9/24 19:56:48*1*用户登录*1*登录*safer在2019/9/24 19:56:48登录时输入错误密码*False
2019-09-24 19:56:53 | 返回: | 124;数据ID：c12868a3-8dd2-45ec-888e-6524fdc6552b
2019-09-24 19:56:53 | 发送数据: | Safer*安全保密员*2019/9/24 19:56:49*1*用户登录*1*登录*safer在2019/9/24 19:56:49登录时输入错误密码*False
2019-09-24 19:56:53 | 返回: | 124;数据ID：f7492208-608f-43a3-9814-cc78817206e3
2019-09-24 19:57:03 | 开始: | 0
2019-09-24 19:57:13 | 开始: | 0
2019-09-24 19:57:23 | 开始: | 2
2019-09-24 19:57:23 | 发送数据: | Safer*安全保密员*2019/9/24 19:57:13*1*用户登录*1*登录*safer在2019/9/24 19:57:13登录时输入错误密码*False
2019-09-24 19:57:23 | 返回: | 124;数据ID：847647a7-cbbd-43b9-a910-8f5149b3c83f
2019-09-24 19:57:23 | 发送数据: | Safer*安全保密员*2019/9/24 19:57:13*1*用户登录*1*登录*safer在2019/9/24 19:57:13登录时输入错误密码*False
2019-09-24 19:57:23 | 返回: | 124;数据ID：7b1394a2-f219-4f60-9f35-e6950459bd2a
2019-09-24 19:57:33 | 开始: | 0
2019-09-24 19:57:43 | 开始: | 0
2019-09-24 19:57:53 | 开始: | 1
2019-09-24 19:57:53 | 发送数据: | Safer*安全保密员*2019/9/24 19:57:43*1*用户登录*10*锁定*safer在2019/9/24 19:57:43登录失败超过次被锁定*True
2019-09-24 19:57:53 | 返回: | 127;数据ID：dcb59719-28bb-4957-a745-f2c4347674a9
2019-09-24 19:58:03 | 开始: | 0
2019-09-24 19:58:13 | 开始: | 0
2019-09-24 19:58:23 | 开始: | 0
2019-09-24 19:58:33 | 开始: | 0
2019-09-24 19:58:43 | 开始: | 0
2019-09-24 19:58:53 | 开始: | 0
2019-09-24 19:59:03 | 开始: | 1
2019-09-24 19:59:03 | 发送数据: | Safer*安全保密员*2019/9/24 19:58:57*1*用户登录*1*登录*safer在2019/9/24 19:58:57登录时输入错误密码*False
2019-09-24 19:59:03 | 返回: | 124;数据ID：4662de9c-6087-45cf-b407-f86521464c7c
2019-09-24 19:59:13 | 开始: | 0
2019-09-24 19:59:23 | 开始: | 1
2019-09-24 19:59:23 | 发送数据: | Admin*系统管理员*2019/9/24 19:59:23*1*用户登录*1*登录*admin在2019/9/24 19:59:23登录时输入错误密码*False
2019-09-24 19:59:23 | 返回: | 124;数据ID：75439de1-95d2-41ef-b92f-4626adffed81
2019-09-24 19:59:33 | 开始: | 1
2019-09-24 19:59:33 | 发送数据: | Admin*系统管理员*2019/9/24 19:59:24*1*用户登录*1*登录*admin在2019/9/24 19:59:24登录时输入错误密码*False
2019-09-24 19:59:33 | 返回: | 124;数据ID：92128bb9-fb8b-4d8a-8dca-674bccdb1b89
2019-09-24 19:59:43 | 开始: | 0
2019-09-24 19:59:53 | 开始: | 0
2019-09-24 20:00:03 | 开始: | 0
2019-09-24 20:00:13 | 开始: | 0
2019-09-24 20:00:24 | 开始: | 0
2019-09-24 20:00:34 | 开始: | 0
